id,year,districtno,districtname,female,reth,source_file
2172,2013,987,Kentwood,1,White,tdemo2013_reth.csv
131,2013,234,Radnor,1,White,tdemo2013_reth.csv
5913,2013,234,Radnor,1,White,tdemo2013_reth.csv
3600,2013,234,Radnor,1,White,tdemo2013_reth.csv
2706,2013,987,Kentwood,1,White,tdemo2013_reth.csv
4897,2013,234,Radnor,0,Hispanic,tdemo2013_reth.csv
3160,2013,122,Westlake,1,White,tdemo2013_reth.csv
5467,2013,987,Kentwood,0,Black,tdemo2013_reth.csv
5933,2013,234,Radnor,1,White,tdemo2013_reth.csv
412,2013,234,Radnor,0,White,tdemo2013_reth.csv
2746,2013,234,Radnor,1,White,tdemo2013_reth.csv
3343,2013,234,Radnor,1,White,tdemo2013_reth.csv
4056,2013,234,Radnor,1,White,tdemo2013_reth.csv
5300,2013,234,Radnor,0,White,tdemo2013_reth.csv
1023,2013,234,Radnor,0,White,tdemo2013_reth.csv
6578,2013,234,Radnor,1,White,tdemo2013_reth.csv
2808,2013,234,Radnor,1,White,tdemo2013_reth.csv
4837,2013,234,Radnor,1,White,tdemo2013_reth.csv
4618,2013,234,Radnor,0,White,tdemo2013_reth.csv
5376,2013,234,Radnor,0,White,tdemo2013_reth.csv
5436,2013,234,Radnor,1,White,tdemo2013_reth.csv
2300,2013,234,Radnor,1,White,tdemo2013_reth.csv
3580,2013,234,Radnor,1,White,tdemo2013_reth.csv
862,2013,234,Radnor,1,White,tdemo2013_reth.csv
3373,2013,987,Kentwood,1,White,tdemo2013_reth.csv
1174,2013,987,Kentwood,1,White,tdemo2013_reth.csv
6918,2013,234,Radnor,1,Black,tdemo2013_reth.csv
2498,2013,234,Radnor,1,White,tdemo2013_reth.csv
2000,2013,234,Radnor,1,White,tdemo2013_reth.csv
5360,2013,234,Radnor,1,White,tdemo2013_reth.csv
1050,2013,234,Radnor,1,White,tdemo2013_reth.csv
3715,2013,234,Radnor,1,White,tdemo2013_reth.csv
6616,2013,234,Radnor,1,White,tdemo2013_reth.csv
2278,2013,234,Radnor,1,White,tdemo2013_reth.csv
4318,2013,234,Radnor,1,White,tdemo2013_reth.csv
1509,2013,234,Radnor,1,White,tdemo2013_reth.csv
980,2013,234,Radnor,1,White,tdemo2013_reth.csv
5288,2013,234,Radnor,1,White,tdemo2013_reth.csv
5639,2013,987,Kentwood,0,White,tdemo2013_reth.csv
4465,2013,234,Radnor,1,White,tdemo2013_reth.csv
6676,2013,234,Radnor,0,White,tdemo2013_reth.csv
3578,2013,234,Radnor,0,White,tdemo2013_reth.csv
4324,2013,234,Radnor,1,White,tdemo2013_reth.csv
5272,2013,234,Radnor,1,White,tdemo2013_reth.csv
4546,2013,234,Radnor,1,White,tdemo2013_reth.csv
985,2013,234,Radnor,1,White,tdemo2013_reth.csv
5399,2013,234,Radnor,1,White,tdemo2013_reth.csv
3755,2013,234,Radnor,1,White,tdemo2013_reth.csv
1121,2013,234,Radnor,0,White,tdemo2013_reth.csv
6792,2013,122,Westlake,1,,tdemo2013_reth.csv
5932,2013,234,Radnor,1,White,tdemo2013_reth.csv
7285,2013,234,Radnor,1,White,tdemo2013_reth.csv
1895,2013,234,Radnor,1,Black,tdemo2013_reth.csv
6487,2013,234,Radnor,1,White,tdemo2013_reth.csv
7462,2013,234,Radnor,1,White,tdemo2013_reth.csv
4266,2013,234,Radnor,1,White,tdemo2013_reth.csv
44,2013,987,Kentwood,1,White,tdemo2013_reth.csv
3009,2013,234,Radnor,0,White,tdemo2013_reth.csv
4833,2013,234,Radnor,1,White,tdemo2013_reth.csv
4865,2013,234,Radnor,1,White,tdemo2013_reth.csv
2447,2013,234,Radnor,1,Black,tdemo2013_reth.csv
1124,2013,234,Radnor,1,White,tdemo2013_reth.csv
56,2013,234,Radnor,0,White,tdemo2013_reth.csv
3748,2013,987,Kentwood,0,White,tdemo2013_reth.csv
3445,2013,234,Radnor,1,,tdemo2013_reth.csv
1834,2013,234,Radnor,1,White,tdemo2013_reth.csv
2583,2013,234,Radnor,1,White,tdemo2013_reth.csv
1939,2013,234,Radnor,1,White,tdemo2013_reth.csv
638,2013,234,Radnor,1,White,tdemo2013_reth.csv
6702,2013,234,Radnor,1,White,tdemo2013_reth.csv
1047,2013,122,Westlake,1,White,tdemo2013_reth.csv
3159,2013,234,Radnor,1,White,tdemo2013_reth.csv
4615,2013,234,Radnor,1,White,tdemo2013_reth.csv
5100,2013,234,Radnor,1,Hispanic,tdemo2013_reth.csv
5268,2013,234,Radnor,1,White,tdemo2013_reth.csv
2657,2013,234,Radnor,0,Hispanic,tdemo2013_reth.csv
6629,2013,234,Radnor,0,Black,tdemo2013_reth.csv
829,2013,234,Radnor,1,White,tdemo2013_reth.csv
3354,2013,234,Radnor,1,White,tdemo2013_reth.csv
2145,2013,987,Kentwood,1,,tdemo2013_reth.csv
1290,2013,987,Kentwood,0,White,tdemo2013_reth.csv
5085,2013,234,Radnor,0,White,tdemo2013_reth.csv
5911,2013,234,Radnor,1,Black,tdemo2013_reth.csv
4445,2013,987,Kentwood,1,White,tdemo2013_reth.csv
4737,2013,987,Kentwood,1,Black,tdemo2013_reth.csv
5322,2013,234,Radnor,1,White,tdemo2013_reth.csv
2677,2013,987,Kentwood,1,White,tdemo2013_reth.csv
6903,2013,122,Westlake,1,White,tdemo2013_reth.csv
3809,2013,234,Radnor,0,White,tdemo2013_reth.csv
2924,2013,234,Radnor,1,White,tdemo2013_reth.csv
7013,2013,234,Radnor,1,White,tdemo2013_reth.csv
4277,2013,987,Kentwood,1,White,tdemo2013_reth.csv
5167,2013,234,Radnor,1,White,tdemo2013_reth.csv
1254,2013,234,Radnor,1,White,tdemo2013_reth.csv
5699,2013,234,Radnor,0,Black,tdemo2013_reth.csv
3675,2013,234,Radnor,0,White,tdemo2013_reth.csv
6936,2013,234,Radnor,1,White,tdemo2013_reth.csv
5881,2013,987,Kentwood,1,White,tdemo2013_reth.csv
4107,2013,234,Radnor,1,Hispanic,tdemo2013_reth.csv
4097,2013,234,Radnor,1,White,tdemo2013_reth.csv
4111,2013,234,Radnor,1,White,tdemo2013_reth.csv
5584,2013,234,Radnor,1,White,tdemo2013_reth.csv
6910,2013,234,Radnor,1,White,tdemo2013_reth.csv
2368,2013,234,Radnor,1,Other,tdemo2013_reth.csv
5536,2013,234,Radnor,1,White,tdemo2013_reth.csv
4413,2013,234,Radnor,1,White,tdemo2013_reth.csv
5253,2013,234,Radnor,0,White,tdemo2013_reth.csv
898,2013,234,Radnor,0,White,tdemo2013_reth.csv
4686,2013,234,Radnor,1,Black,tdemo2013_reth.csv
7458,2013,234,Radnor,0,White,tdemo2013_reth.csv
4927,2013,234,Radnor,1,White,tdemo2013_reth.csv
6300,2013,234,Radnor,1,Hispanic,tdemo2013_reth.csv
4311,2013,234,Radnor,1,White,tdemo2013_reth.csv
531,2013,234,Radnor,1,White,tdemo2013_reth.csv
5130,2013,234,Radnor,1,Black,tdemo2013_reth.csv
3147,2013,234,Radnor,1,White,tdemo2013_reth.csv
2297,2013,234,Radnor,1,Black,tdemo2013_reth.csv
1803,2013,234,Radnor,1,White,tdemo2013_reth.csv
750,2013,234,Radnor,1,White,tdemo2013_reth.csv
6099,2013,234,Radnor,1,White,tdemo2013_reth.csv
2915,2013,234,Radnor,1,Hispanic,tdemo2013_reth.csv
987,2013,234,Radnor,0,White,tdemo2013_reth.csv
5350,2013,234,Radnor,1,White,tdemo2013_reth.csv
4269,2013,234,Radnor,1,White,tdemo2013_reth.csv
3880,2013,234,Radnor,1,White,tdemo2013_reth.csv
6274,2013,234,Radnor,1,White,tdemo2013_reth.csv
3932,2013,234,Radnor,1,White,tdemo2013_reth.csv
2260,2013,234,Radnor,0,White,tdemo2013_reth.csv
5874,2013,234,Radnor,0,White,tdemo2013_reth.csv
3266,2013,987,Kentwood,0,White,tdemo2013_reth.csv
4285,2013,987,Kentwood,1,White,tdemo2013_reth.csv
1346,2013,234,Radnor,1,White,tdemo2013_reth.csv
2517,2013,234,Radnor,1,White,tdemo2013_reth.csv
4882,2013,234,Radnor,1,White,tdemo2013_reth.csv
4884,2013,234,Radnor,1,White,tdemo2013_reth.csv
6402,2013,234,Radnor,1,White,tdemo2013_reth.csv
6704,2013,234,Radnor,1,White,tdemo2013_reth.csv
5596,2013,234,Radnor,1,White,tdemo2013_reth.csv
2361,2013,234,Radnor,0,White,tdemo2013_reth.csv
782,2013,987,Kentwood,1,White,tdemo2013_reth.csv
6265,2013,234,Radnor,1,White,tdemo2013_reth.csv
2714,2013,234,Radnor,1,White,tdemo2013_reth.csv
6506,2013,234,Radnor,1,White,tdemo2013_reth.csv
4991,2013,234,Radnor,1,White,tdemo2013_reth.csv
1391,2013,987,Kentwood,1,White,tdemo2013_reth.csv
2223,2013,234,Radnor,1,White,tdemo2013_reth.csv
5796,2013,234,Radnor,1,White,tdemo2013_reth.csv
4726,2013,234,Radnor,1,White,tdemo2013_reth.csv
1250,2013,234,Radnor,1,White,tdemo2013_reth.csv
2473,2013,234,Radnor,1,White,tdemo2013_reth.csv
1941,2013,234,Radnor,1,Black,tdemo2013_reth.csv
210,2013,234,Radnor,0,White,tdemo2013_reth.csv
4666,2013,987,Kentwood,0,White,tdemo2013_reth.csv
3727,2013,234,Radnor,1,White,tdemo2013_reth.csv
95,2013,234,Radnor,1,Black,tdemo2013_reth.csv
3858,2013,234,Radnor,0,White,tdemo2013_reth.csv
2754,2013,987,Kentwood,0,White,tdemo2013_reth.csv
5747,2013,234,Radnor,1,Black,tdemo2013_reth.csv
4336,2013,234,Radnor,1,White,tdemo2013_reth.csv
2031,2013,234,Radnor,1,White,tdemo2013_reth.csv
1606,2013,987,Kentwood,1,White,tdemo2013_reth.csv
983,2013,234,Radnor,1,Other,tdemo2013_reth.csv
3326,2013,234,Radnor,1,White,tdemo2013_reth.csv
7353,2013,234,Radnor,1,White,tdemo2013_reth.csv
5260,2013,234,Radnor,1,Hispanic,tdemo2013_reth.csv
4502,2013,234,Radnor,1,White,tdemo2013_reth.csv
5535,2013,234,Radnor,1,White,tdemo2013_reth.csv
2354,2013,234,Radnor,0,White,tdemo2013_reth.csv
7196,2013,234,Radnor,1,White,tdemo2013_reth.csv
4385,2013,234,Radnor,1,White,tdemo2013_reth.csv
5273,2013,987,Kentwood,1,White,tdemo2013_reth.csv
1988,2013,234,Radnor,1,White,tdemo2013_reth.csv
5503,2013,987,Kentwood,1,White,tdemo2013_reth.csv
1627,2013,234,Radnor,1,White,tdemo2013_reth.csv
4434,2013,234,Radnor,0,White,tdemo2013_reth.csv
1983,2013,234,Radnor,1,White,tdemo2013_reth.csv
5026,2013,234,Radnor,1,White,tdemo2013_reth.csv
2044,2013,234,Radnor,1,White,tdemo2013_reth.csv
1628,2013,234,Radnor,0,White,tdemo2013_reth.csv
296,2013,987,Kentwood,1,,tdemo2013_reth.csv
893,2013,234,Radnor,0,White,tdemo2013_reth.csv
2822,2013,234,Radnor,0,White,tdemo2013_reth.csv
4967,2013,122,Westlake,1,White,tdemo2013_reth.csv
1495,2013,234,Radnor,0,White,tdemo2013_reth.csv
1178,2013,234,Radnor,1,White,tdemo2013_reth.csv
6539,2013,234,Radnor,1,White,tdemo2013_reth.csv
2360,2013,234,Radnor,1,White,tdemo2013_reth.csv
6697,2013,234,Radnor,1,White,tdemo2013_reth.csv
904,2013,234,Radnor,1,White,tdemo2013_reth.csv
7272,2013,122,Westlake,1,White,tdemo2013_reth.csv
6186,2013,234,Radnor,1,White,tdemo2013_reth.csv
1565,2013,234,Radnor,1,White,tdemo2013_reth.csv
2639,2013,234,Radnor,0,White,tdemo2013_reth.csv
7365,2013,234,Radnor,1,,tdemo2013_reth.csv
458,2013,234,Radnor,0,Hispanic,tdemo2013_reth.csv
6852,2013,234,Radnor,1,Hispanic,tdemo2013_reth.csv
1289,2013,234,Radnor,1,White,tdemo2013_reth.csv
4571,2013,987,Kentwood,1,Hispanic,tdemo2013_reth.csv
1610,2013,234,Radnor,1,White,tdemo2013_reth.csv
4544,2013,234,Radnor,0,White,tdemo2013_reth.csv
474,2013,234,Radnor,1,White,tdemo2013_reth.csv
1514,2013,234,Radnor,1,White,tdemo2013_reth.csv
4089,2013,987,Kentwood,0,White,tdemo2013_reth.csv
6387,2013,234,Radnor,1,Black,tdemo2013_reth.csv
263,2013,234,Radnor,1,White,tdemo2013_reth.csv
7334,2013,234,Radnor,1,White,tdemo2013_reth.csv
6426,2013,234,Radnor,0,White,tdemo2013_reth.csv
4754,2013,234,Radnor,0,White,tdemo2013_reth.csv
2356,2013,234,Radnor,1,White,tdemo2013_reth.csv
6715,2013,234,Radnor,1,White,tdemo2013_reth.csv
4408,2013,234,Radnor,1,White,tdemo2013_reth.csv
4317,2013,234,Radnor,1,Hispanic,tdemo2013_reth.csv
2141,2013,234,Radnor,1,White,tdemo2013_reth.csv
3745,2013,987,Kentwood,1,White,tdemo2013_reth.csv
7463,2013,987,Kentwood,1,White,tdemo2013_reth.csv
313,2013,987,Kentwood,1,Black,tdemo2013_reth.csv
4623,2013,234,Radnor,1,White,tdemo2013_reth.csv
1703,2013,234,Radnor,1,White,tdemo2013_reth.csv
3883,2013,234,Radnor,1,White,tdemo2013_reth.csv
2139,2013,234,Radnor,1,White,tdemo2013_reth.csv
3629,2013,987,Kentwood,1,White,tdemo2013_reth.csv
3364,2013,234,Radnor,1,White,tdemo2013_reth.csv
3356,2013,234,Radnor,1,White,tdemo2013_reth.csv
6358,2013,234,Radnor,1,White,tdemo2013_reth.csv
6189,2013,234,Radnor,1,,tdemo2013_reth.csv
1526,2013,234,Radnor,1,White,tdemo2013_reth.csv
6443,2013,234,Radnor,1,White,tdemo2013_reth.csv
2836,2013,234,Radnor,1,White,tdemo2013_reth.csv
4512,2013,234,Radnor,1,White,tdemo2013_reth.csv
6665,2013,234,Radnor,1,White,tdemo2013_reth.csv
3525,2013,234,Radnor,1,White,tdemo2013_reth.csv
4404,2013,234,Radnor,1,Black,tdemo2013_reth.csv
2291,2013,234,Radnor,1,White,tdemo2013_reth.csv
7319,2013,234,Radnor,1,White,tdemo2013_reth.csv
4079,2013,234,Radnor,1,White,tdemo2013_reth.csv
3491,2013,234,Radnor,1,,tdemo2013_reth.csv
2478,2013,234,Radnor,1,Black,tdemo2013_reth.csv
2079,2013,234,Radnor,1,White,tdemo2013_reth.csv
272,2013,234,Radnor,1,White,tdemo2013_reth.csv
4358,2013,234,Radnor,1,White,tdemo2013_reth.csv
2209,2013,234,Radnor,1,White,tdemo2013_reth.csv
7259,2013,234,Radnor,1,White,tdemo2013_reth.csv
2778,2013,234,Radnor,1,White,tdemo2013_reth.csv
2241,2013,234,Radnor,1,White,tdemo2013_reth.csv
1065,2013,234,Radnor,0,Black,tdemo2013_reth.csv
726,2013,234,Radnor,1,White,tdemo2013_reth.csv
6087,2013,234,Radnor,1,Black,tdemo2013_reth.csv
5790,2013,987,Kentwood,1,White,tdemo2013_reth.csv
4938,2013,234,Radnor,1,White,tdemo2013_reth.csv
4948,2013,234,Radnor,1,White,tdemo2013_reth.csv
3047,2013,234,Radnor,1,White,tdemo2013_reth.csv
394,2013,234,Radnor,1,White,tdemo2013_reth.csv
6786,2013,234,Radnor,1,White,tdemo2013_reth.csv
5218,2013,234,Radnor,1,White,tdemo2013_reth.csv
4653,2013,234,Radnor,1,Hispanic,tdemo2013_reth.csv
3396,2013,234,Radnor,1,White,tdemo2013_reth.csv
7346,2013,234,Radnor,1,White,tdemo2013_reth.csv
1974,2013,234,Radnor,1,White,tdemo2013_reth.csv
1137,2013,234,Radnor,0,White,tdemo2013_reth.csv
2981,2013,234,Radnor,1,White,tdemo2013_reth.csv
5737,2013,987,Kentwood,1,White,tdemo2013_reth.csv
4110,2013,234,Radnor,1,White,tdemo2013_reth.csv
2171,2013,987,Kentwood,1,Black,tdemo2013_reth.csv
6658,2013,987,Kentwood,1,White,tdemo2013_reth.csv
4200,2013,987,Kentwood,0,White,tdemo2013_reth.csv
4599,2013,987,Kentwood,0,White,tdemo2013_reth.csv
2668,2013,234,Radnor,1,White,tdemo2013_reth.csv
4710,2013,234,Radnor,1,White,tdemo2013_reth.csv
768,2013,234,Radnor,1,White,tdemo2013_reth.csv
4243,2013,234,Radnor,1,,tdemo2013_reth.csv
187,2013,234,Radnor,0,Black,tdemo2013_reth.csv
2984,2013,234,Radnor,0,White,tdemo2013_reth.csv
2213,2013,234,Radnor,1,Black,tdemo2013_reth.csv
4484,2013,234,Radnor,1,White,tdemo2013_reth.csv
543,2013,234,Radnor,1,Black,tdemo2013_reth.csv
857,2013,234,Radnor,1,White,tdemo2013_reth.csv
2824,2013,234,Radnor,1,White,tdemo2013_reth.csv
3751,2013,234,Radnor,1,White,tdemo2013_reth.csv
1086,2013,234,Radnor,1,White,tdemo2013_reth.csv
976,2013,234,Radnor,1,White,tdemo2013_reth.csv
4804,2013,234,Radnor,1,Hispanic,tdemo2013_reth.csv
4716,2013,234,Radnor,1,White,tdemo2013_reth.csv
2375,2013,234,Radnor,1,White,tdemo2013_reth.csv
6933,2013,234,Radnor,0,Black,tdemo2013_reth.csv
3877,2013,234,Radnor,0,White,tdemo2013_reth.csv
6333,2013,234,Radnor,1,White,tdemo2013_reth.csv
2603,2013,234,Radnor,1,White,tdemo2013_reth.csv
5426,2013,122,Westlake,0,White,tdemo2013_reth.csv
6711,2013,234,Radnor,1,White,tdemo2013_reth.csv
4524,2013,234,Radnor,1,White,tdemo2013_reth.csv
5652,2013,234,Radnor,1,Black,tdemo2013_reth.csv
2716,2013,234,Radnor,1,White,tdemo2013_reth.csv
3334,2013,234,Radnor,1,White,tdemo2013_reth.csv
1727,2013,234,Radnor,1,White,tdemo2013_reth.csv
4712,2013,987,Kentwood,1,White,tdemo2013_reth.csv
6498,2013,234,Radnor,1,White,tdemo2013_reth.csv
4115,2013,234,Radnor,1,White,tdemo2013_reth.csv
2246,2013,234,Radnor,1,White,tdemo2013_reth.csv
1399,2013,234,Radnor,1,White,tdemo2013_reth.csv
3900,2013,234,Radnor,1,White,tdemo2013_reth.csv
7403,2013,234,Radnor,1,White,tdemo2013_reth.csv
7105,2013,234,Radnor,1,White,tdemo2013_reth.csv
6341,2013,234,Radnor,1,White,tdemo2013_reth.csv
4095,2013,234,Radnor,1,White,tdemo2013_reth.csv
5145,2013,234,Radnor,0,White,tdemo2013_reth.csv
118,2013,234,Radnor,0,White,tdemo2013_reth.csv
1502,2013,234,Radnor,1,Black,tdemo2013_reth.csv
7221,2013,234,Radnor,1,White,tdemo2013_reth.csv
2476,2013,234,Radnor,1,Black,tdemo2013_reth.csv
3556,2013,234,Radnor,1,White,tdemo2013_reth.csv
4417,2013,234,Radnor,1,White,tdemo2013_reth.csv
2843,2013,987,Kentwood,0,White,tdemo2013_reth.csv
6810,2013,987,Kentwood,1,White,tdemo2013_reth.csv
6370,2013,234,Radnor,1,White,tdemo2013_reth.csv
4816,2013,234,Radnor,0,White,tdemo2013_reth.csv
1581,2013,234,Radnor,1,White,tdemo2013_reth.csv
2323,2013,987,Kentwood,1,White,tdemo2013_reth.csv
2607,2013,987,Kentwood,0,White,tdemo2013_reth.csv
6586,2013,234,Radnor,0,White,tdemo2013_reth.csv
3279,2013,234,Radnor,1,White,tdemo2013_reth.csv
5860,2013,234,Radnor,1,White,tdemo2013_reth.csv
3074,2013,987,Kentwood,1,White,tdemo2013_reth.csv
4950,2013,234,Radnor,0,White,tdemo2013_reth.csv
6568,2013,987,Kentwood,0,White,tdemo2013_reth.csv
6388,2013,234,Radnor,1,White,tdemo2013_reth.csv
5539,2013,234,Radnor,0,White,tdemo2013_reth.csv
943,2013,234,Radnor,1,White,tdemo2013_reth.csv
7040,2013,234,Radnor,1,White,tdemo2013_reth.csv
2837,2013,234,Radnor,0,White,tdemo2013_reth.csv
6006,2013,234,Radnor,1,White,tdemo2013_reth.csv
4485,2013,234,Radnor,1,White,tdemo2013_reth.csv
2038,2013,234,Radnor,1,White,tdemo2013_reth.csv
2412,2013,234,Radnor,1,Black,tdemo2013_reth.csv
4377,2013,234,Radnor,1,White,tdemo2013_reth.csv
2845,2013,234,Radnor,1,Black,tdemo2013_reth.csv
4137,2013,234,Radnor,1,White,tdemo2013_reth.csv
5574,2013,234,Radnor,1,White,tdemo2013_reth.csv
5552,2013,234,Radnor,0,White,tdemo2013_reth.csv
2346,2013,987,Kentwood,0,White,tdemo2013_reth.csv
2253,2013,987,Kentwood,0,Black,tdemo2013_reth.csv
4347,2013,234,Radnor,1,White,tdemo2013_reth.csv
3899,2013,234,Radnor,1,White,tdemo2013_reth.csv
698,2013,234,Radnor,1,White,tdemo2013_reth.csv
2699,2013,234,Radnor,1,White,tdemo2013_reth.csv
2731,2013,987,Kentwood,1,White,tdemo2013_reth.csv
4961,2013,234,Radnor,1,White,tdemo2013_reth.csv
1241,2013,234,Radnor,1,White,tdemo2013_reth.csv
2586,2013,234,Radnor,1,White,tdemo2013_reth.csv
706,2013,234,Radnor,0,White,tdemo2013_reth.csv
6077,2013,234,Radnor,1,White,tdemo2013_reth.csv
5184,2013,234,Radnor,1,White,tdemo2013_reth.csv
6627,2013,234,Radnor,1,White,tdemo2013_reth.csv
4606,2013,234,Radnor,1,White,tdemo2013_reth.csv
4409,2013,987,Kentwood,1,White,tdemo2013_reth.csv
3449,2013,234,Radnor,1,White,tdemo2013_reth.csv
569,2013,234,Radnor,1,Black,tdemo2013_reth.csv
1624,2013,987,Kentwood,1,White,tdemo2013_reth.csv
6951,2013,987,Kentwood,1,White,tdemo2013_reth.csv
1179,2013,234,Radnor,1,White,tdemo2013_reth.csv
574,2013,234,Radnor,1,White,tdemo2013_reth.csv
791,2013,234,Radnor,0,White,tdemo2013_reth.csv
5689,2013,234,Radnor,1,White,tdemo2013_reth.csv
3951,2013,234,Radnor,0,White,tdemo2013_reth.csv
2874,2013,987,Kentwood,0,White,tdemo2013_reth.csv
329,2013,234,Radnor,1,White,tdemo2013_reth.csv
530,2013,987,Kentwood,1,White,tdemo2013_reth.csv
6679,2013,234,Radnor,1,Black,tdemo2013_reth.csv
4202,2013,234,Radnor,0,White,tdemo2013_reth.csv
5247,2013,234,Radnor,0,White,tdemo2013_reth.csv
1063,2013,234,Radnor,1,White,tdemo2013_reth.csv
5429,2013,234,Radnor,1,White,tdemo2013_reth.csv
7051,2013,122,Westlake,1,White,tdemo2013_reth.csv
7354,2013,234,Radnor,0,White,tdemo2013_reth.csv
4498,2013,234,Radnor,1,White,tdemo2013_reth.csv
7043,2013,234,Radnor,0,White,tdemo2013_reth.csv
1105,2013,234,Radnor,1,White,tdemo2013_reth.csv
3251,2013,234,Radnor,1,White,tdemo2013_reth.csv
1801,2013,234,Radnor,1,White,tdemo2013_reth.csv
7109,2013,234,Radnor,1,White,tdemo2013_reth.csv
571,2013,234,Radnor,1,White,tdemo2013_reth.csv
6137,2013,234,Radnor,1,White,tdemo2013_reth.csv
76,2013,234,Radnor,1,Black,tdemo2013_reth.csv
3808,2013,234,Radnor,1,White,tdemo2013_reth.csv
1693,2013,234,Radnor,1,White,tdemo2013_reth.csv
6415,2013,234,Radnor,1,White,tdemo2013_reth.csv
6130,2013,234,Radnor,1,White,tdemo2013_reth.csv
2752,2013,234,Radnor,0,White,tdemo2013_reth.csv
3181,2013,234,Radnor,1,White,tdemo2013_reth.csv
5686,2013,234,Radnor,1,White,tdemo2013_reth.csv
5036,2013,234,Radnor,1,Black,tdemo2013_reth.csv
5695,2013,234,Radnor,1,White,tdemo2013_reth.csv
6628,2013,234,Radnor,0,White,tdemo2013_reth.csv
3904,2013,987,Kentwood,1,White,tdemo2013_reth.csv
2905,2013,234,Radnor,1,White,tdemo2013_reth.csv
1596,2013,234,Radnor,1,White,tdemo2013_reth.csv
282,2013,234,Radnor,1,White,tdemo2013_reth.csv
6670,2013,234,Radnor,1,Hispanic,tdemo2013_reth.csv
3952,2013,234,Radnor,1,White,tdemo2013_reth.csv
4603,2013,234,Radnor,1,White,tdemo2013_reth.csv
7479,2013,234,Radnor,1,White,tdemo2013_reth.csv
6138,2013,122,Westlake,1,White,tdemo2013_reth.csv
